"id","type","label","spatially-within","url"
"vicolo-r1-i9-r1-i11","street","Vicolo I.9-I.11","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-r1-i9-r1-i11"
"vicolo-r3-i1-r3-i2","street","Vicolo III.1-III.2","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i1-r3-i2"
"vicolo-r3-i10-r3-i11","street","Vicolo III.10-III.11","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i10-r3-i11"
"vicolo-r3-i11-r3-i12","street","Vicolo III.11-III.12","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i11-r3-i12"
"vicolo-r3-i2-r3-i3","street","Vicolo III.2-III.3","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i2-r3-i3"
"vicolo-r3-i4-r3-i5","street","Vicolo III.4-III.5","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i4-r3-i5"
"vicolo-r3-i5-r3-i6","street","Vicolo III.5-III.6","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i5-r3-i6"
"vicolo-r3-i6-r3-i7","street","Vicolo III.6-III.7","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i6-r3-i7"
"vicolo-r3-i7-fortification-wall","street","Vicolo III.7-Fortification Wall","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i7-fortification-wall"
"vicolo-r3-i8-r3-i9","street","Vicolo III.8-III.9","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i8-r3-i9"
"vicolo-r3-i9-r3-i10","street","Vicolo III.9-III.10","r3","http://p-lod.org/urn/urn:p-lod:id:vicolo-r3-i9-r3-i10"
"vicolo-r4-3-r4-4","street","Vicolo IV.3-IV.4","r4","http://p-lod.org/urn/urn:p-lod:id:vicolo-r4-3-r4-4"
"vicolo-r4-i1-r4-i2","street","Vicolo IV.1-IV.2","r4","http://p-lod.org/urn/urn:p-lod:id:vicolo-r4-i1-r4-i2"
"vicolo-r4-i2-r4-i3","street","Vicolo IV.2-IV.3","r4","http://p-lod.org/urn/urn:p-lod:id:vicolo-r4-i2-r4-i3"
"vicolo-r4-i4-r4-i5","street","Vicolo IV.4-IV.5","r4","http://p-lod.org/urn/urn:p-lod:id:vicolo-r4-i4-r4-i5"
"vicolo-r4-i5-fortification-wall","street","Vicolo IV.5-Fortification Wall","r4","http://p-lod.org/urn/urn:p-lod:id:vicolo-r4-i5-fortification-wall"
"vicolo-r5-i5-r4-i1","street","Vicolo V.5-IV.1","pompeii","http://p-lod.org/urn/urn:p-lod:id:vicolo-r5-i5-r4-i1"
"vicolo-r5-i6-fortification-wall","street","Vicolo V.6-Fortification Wall","r5","http://p-lod.org/urn/urn:p-lod:id:vicolo-r5-i6-fortification-wall"
"vicolo-r8-i5-r8-i5","street","Vicolo VIII.5-5","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-r8-i5-r8-i5"
"vicolo-r9-i10-r9-i14","street","Vicolo IX.10-IX.14","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i10-r9-i14"
"vicolo-r9-i11-r9-i12","street","Vicolo IX.11-IX.12","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i11-r9-i12"
"vicolo-r9-i12-r9-i13","street","Vicolo IX.12-IX.13","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i12-r9-i13"
"vicolo-r9-i13-r3-i1","street","Vicolo IX.13-III.1","pompeii","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i13-r3-i1"
"vicolo-r9-i14-r3-i8","street","Vicolo IX.14-III.8","pompeii","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i14-r3-i8"
"vicolo-r9-i3-r9-i6-r9-i4-r9-i5","street","Vicolo IX.3-6-IX.4-5","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i3-r9-i6-r9-i4-r9-i5"
"vicolo-r9-i7-r9-i11","street","Vicolo IX.7-IX.11","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-r9-i7-r9-i11"
"vicolo-storto","street","Vicolo Storto","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-storto"
"vicolo-storto-nuovo","street","Vicolo Storto Nuovo","r#","http://p-lod.org/urn/urn:p-lod:id:vicolo-storto-nuovo"
