"id","best-image","broader","description","type","label","manto-url","wikidata-url","url"
"circle","","","","concept","Circle","","http://www.wikidata.org/entity/Q17278","https://p-lod.org/id/circle"
"cista","","","","concept","Cista","","http://www.wikidata.org/entity/Q867621","https://p-lod.org/id/cista"
"cithara","","","","concept","Cithara","","","https://p-lod.org/id/cithara"
"city","","architecture","","concept","City","","http://www.wikidata.org/entity/Q515","https://p-lod.org/id/city"
"clio","","","","concept","Clio","","","https://p-lod.org/id/clio"
"clipeus","","","","concept","Clipeus","","http://www.wikidata.org/entity/Q1101789","https://p-lod.org/id/clipeus"
"cloak","","","","concept","Cloak","","http://www.wikidata.org/entity/Q516992","https://p-lod.org/id/cloak"
"cloth","","","","concept","Cloth","","http://www.wikidata.org/entity/Q5849500","https://p-lod.org/id/cloth"
"clover","","","","concept","Clover","","http://www.wikidata.org/entity/Q101538","https://p-lod.org/id/clover"
"club","","","","concept","Club","","","https://p-lod.org/id/club"
"cobra","","snake","","concept","Cobra","","http://www.wikidata.org/entity/Q2303322","https://p-lod.org/id/cobra"
"cocciopesto","","","","concept","Cocciopesto","","http://www.wikidata.org/entity/Q761421","https://p-lod.org/id/cocciopesto"
"cock","","bird","","concept","Cock","","http://www.wikidata.org/entity/Q2216236","https://p-lod.org/id/cock"
"collar","","","","concept","Collar","","","https://p-lod.org/id/collar"
"colonnade","","architecture","","concept","Colonnade","","http://www.wikidata.org/entity/Q657100","https://p-lod.org/id/colonnade"
"column","","architecture","","concept","Column","","http://www.wikidata.org/entity/Q4817","https://p-lod.org/id/column"
"column__engaged","","","","concept","","","","https://p-lod.org/id/column__engaged"
"column_drum","","","","concept","Column drum","","http://www.wikidata.org/entity/Q4817","https://p-lod.org/id/column_drum"
"compartment","","","","concept","Compartment","","http://www.wikidata.org/entity/Q251238","https://p-lod.org/id/compartment"
"compass","","","","concept","","","","https://p-lod.org/id/compass"
"corbel","","","","concept","Corbel","","","https://p-lod.org/id/corbel"
"cord","","","","concept","Cord","","","https://p-lod.org/id/cord"
"coregi","","","","concept","","","","https://p-lod.org/id/coregi"
"corinna","","poet","","concept","Corinna","","http://www.wikidata.org/entity/Q241132","https://p-lod.org/id/corinna"
